,Unnamed: 0,Weapon,Kills,Damage,Shots,Hits,Accuracy,Cumulative play time,Player,Competition
6,,Devotion LMG,1,144,-,10,-,0h 0m 0s,GLD Jeskoesk,Y4-Split2 ALGS-Playoffs
7,,30-30 Repeater,0,3906,480,90,18.75%,1h 7m 46s,GLD Jeskoesk,Y4-Split2 ALGS-Playoffs
8,,Volt SMG,0,12,26,1,3.85%,0h 2m 8s,GLD Jeskoesk,Y4-Split2 ALGS-Playoffs
9,,Thermite Grenade,0,375,-,105,-,0h 0m 0s,GLD Jeskoesk,Y4-Split2 ALGS-Playoffs
10,,Arc Star,0,605,-,16,-,0h 0m 0s,GLD Jeskoesk,Y4-Split2 ALGS-Playoffs
11,,Frag Grenade,0,165,-,4,-,0h 0m 0s,GLD Jeskoesk,Y4-Split2 ALGS-Playoffs
12,,Hemlok Burst AR,0,1471,578,119,20.59%,0h 24m 12s,GLD Jeskoesk,Y4-Split2 ALGS-Playoffs
13,,Mozambique Shotgun,0,482,445,-,-,0h 54m 44s,GLD Jeskoesk,Y4-Split2 ALGS-Playoffs
14,,RE-45 Auto,0,0,-,-,NAN%,0h 0m 7s,GLD Jeskoesk,Y4-Split2 ALGS-Playoffs
15,,Alternator SMG,0,0,-,-,NAN%,0h 0m 19s,GLD Jeskoesk,Y4-Split2 ALGS-Playoffs
16,,R-301 Carbine,0,11,9,1,11.11%,0h 1m 39s,GLD Jeskoesk,Y4-Split2 ALGS-Playoffs
17,,Nemesis Burst AR,0,266,257,17,6.61%,0h 19m 0s,GLD Jeskoesk,Y4-Split2 ALGS-Playoffs
18,,Longbow DMR,0,0,-,-,NAN%,0h 0m 1s,GLD Jeskoesk,Y4-Split2 ALGS-Playoffs
19,,C.A.R. SMG,0,126,47,11,23.4%,0h 0m 47s,GLD Jeskoesk,Y4-Split2 ALGS-Playoffs
20,,HAVOC Rifle,0,434,113,23,20.35%,0h 4m 9s,GLD Jeskoesk,Y4-Split2 ALGS-Playoffs
21,,Rampage LMG,0,0,10,-,0%,0h 0m 9s,GLD Jeskoesk,Y4-Split2 ALGS-Playoffs
22,,Peacekeeper,0,0,-,-,-,0h 0m 3s,GLD Jeskoesk,Y4-Split2 ALGS-Playoffs
23,,L-STAR EMG,0,0,-,-,NAN%,0h 0m 5s,GLD Jeskoesk,Y4-Split2 ALGS-Playoffs
24,,P2020,0,0,-,-,NAN%,0h 0m 3s,GLD Jeskoesk,Y4-Split2 ALGS-Playoffs
0,,Mozambique (Akimbo),7,4029,-,274,-,0h 0m 0s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
1,,Nemesis Burst AR,2,1645,488,108,22.13%,0h 26m 10s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
2,,Triple Take,2,3483,276,-,-,0h 43m 17s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
3,,Prowler Burst PDW,2,136,135,10,7.41%,0h 3m 46s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
4,,Hemlok Burst AR,1,1853,646,104,16.1%,0h 39m 12s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
5,,G7 Scout,1,2199,658,75,11.4%,0h 33m 29s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
6,,VK-47 Flatline,1,1790,745,106,14.23%,0h 20m 0s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
7,,M600 Spitfire,1,1160,408,69,16.91%,0h 11m 45s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
8,,Sentinel,1,2161,117,34,29.06%,0h 30m 30s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
9,,Peacekeeper,1,53,17,-,-,0h 4m 28s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
10,,Mozambique Shotgun,0,245,363,-,-,1h 9m 8s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
11,,EVA-8 Auto,0,129,5,-,-,0h 1m 57s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
12,,P2020,0,0,2,-,0%,0h 0m 20s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
13,,Charge Rifle,0,804,46,-,-,0h 7m 16s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
14,,HAVOC Rifle,0,60,34,4,11.76%,0h 1m 5s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
15,,Alternator SMG,0,0,-,-,NAN%,0h 0m 15s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
16,,Mastiff Shotgun,0,147,-,-,-,0h 2m 35s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
17,,RE-45 Auto,0,30,44,3,6.82%,0h 0m 49s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
18,,30-30 Repeater,0,1150,223,27,12.11%,0h 21m 11s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
19,,L-STAR EMG,0,0,60,-,0%,0h 0m 52s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
20,,Frag Grenade,0,153,-,4,-,0h 0m 0s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
21,,Arc Star,0,236,-,6,-,0h 0m 0s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
22,,C.A.R. SMG,0,0,3,-,0%,0h 0m 11s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
23,,Longbow DMR,0,0,5,-,0%,0h 0m 9s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
24,,Volt SMG,0,0,-,-,NAN%,0h 0m 27s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
25,,R-301 Carbine,0,236,171,18,10.53%,0h 3m 4s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
26,,Thermite Grenade,0,66,-,18,-,0h 0m 0s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
27,,Rampage LMG,0,0,22,-,0%,0h 1m 30s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
28,,Wingman,0,471,68,10,14.71%,0h 8m 25s,NRG FunFPS,Y4-Split2 ALGS-Playoffs
0,,Mozambique (Akimbo),9,3318,-,227,-,0h 0m 0s,SSG Phony,Y4-Split2 ALGS-Playoffs
1,,Mastiff Shotgun,7,1021,33,-,-,0h 17m 41s,SSG Phony,Y4-Split2 ALGS-Playoffs
2,,Nemesis Burst AR,5,1555,604,109,18.05%,0h 32m 21s,SSG Phony,Y4-Split2 ALGS-Playoffs
3,,Mozambique Shotgun,1,193,198,-,-,1h 31m 37s,SSG Phony,Y4-Split2 ALGS-Playoffs
4,,Peacekeeper,1,17,3,-,-,0h 11m 15s,SSG Phony,Y4-Split2 ALGS-Playoffs
5,,G7 Scout,1,219,83,8,9.64%,0h 2m 50s,SSG Phony,Y4-Split2 ALGS-Playoffs
6,,Triple Take,0,1070,70,-,-,0h 11m 43s,SSG Phony,Y4-Split2 ALGS-Playoffs
7,,Arc Star,0,98,-,3,-,0h 0m 0s,SSG Phony,Y4-Split2 ALGS-Playoffs
8,,M600 Spitfire,0,0,5,-,0%,0h 0m 17s,SSG Phony,Y4-Split2 ALGS-Playoffs
9,,EVA-8 Auto,0,0,-,-,-,0h 0m 17s,SSG Phony,Y4-Split2 ALGS-Playoffs
10,,VK-47 Flatline,0,727,590,46,7.8%,0h 39m 7s,SSG Phony,Y4-Split2 ALGS-Playoffs
11,,Alternator SMG,0,0,28,-,0%,0h 0m 20s,SSG Phony,Y4-Split2 ALGS-Playoffs
12,,Volt SMG,0,0,-,-,NAN%,0h 0m 17s,SSG Phony,Y4-Split2 ALGS-Playoffs
13,,C.A.R. SMG,0,0,-,-,NAN%,0h 0m 9s,SSG Phony,Y4-Split2 ALGS-Playoffs
14,,Rampage LMG,0,104,108,4,3.7%,0h 1m 22s,SSG Phony,Y4-Split2 ALGS-Playoffs
15,,Hemlok Burst AR,0,47,42,3,7.14%,0h 2m 53s,SSG Phony,Y4-Split2 ALGS-Playoffs
16,,P2020,0,0,-,-,NAN%,0h 0m 5s,SSG Phony,Y4-Split2 ALGS-Playoffs
17,,RE-45 Auto,0,0,8,-,0%,0h 0m 15s,SSG Phony,Y4-Split2 ALGS-Playoffs
18,,HAVOC Rifle,0,559,232,34,14.66%,0h 13m 23s,SSG Phony,Y4-Split2 ALGS-Playoffs
19,,Bocek Compound Bow,0,0,-,-,NAN%,0h 0m 10s,SSG Phony,Y4-Split2 ALGS-Playoffs
20,,30-30 Repeater,0,0,3,-,0%,0h 0m 51s,SSG Phony,Y4-Split2 ALGS-Playoffs
21,,Charge Rifle,0,0,-,-,-,0h 0m 6s,SSG Phony,Y4-Split2 ALGS-Playoffs
22,,L-STAR EMG,0,0,2,-,0%,0h 0m 9s,SSG Phony,Y4-Split2 ALGS-Playoffs
23,,Prowler Burst PDW,0,0,-,-,NAN%,0h 0m 8s,SSG Phony,Y4-Split2 ALGS-Playoffs
24,,Longbow DMR,0,0,3,-,0%,0h 0m 30s,SSG Phony,Y4-Split2 ALGS-Playoffs
25,,Frag Grenade,0,144,-,2,-,0h 0m 0s,SSG Phony,Y4-Split2 ALGS-Playoffs
26,,Wingman,0,0,-,-,NAN%,0h 0m 20s,SSG Phony,Y4-Split2 ALGS-Playoffs
27,,Kraber .50-Cal Sniper,0,0,-,-,NAN%,0h 0m 26s,SSG Phony,Y4-Split2 ALGS-Playoffs
0,,VK-47 Flatline,3,341,42,18,42.86%,0h 16m 12s,GHS Wabu,Y4-Split2 ALGS-Playoffs
1,,Volt SMG,2,304,119,22,18.49%,0h 37m 28s,GHS Wabu,Y4-Split2 ALGS-Playoffs
2,,Alternator SMG,0,29,28,2,7.14%,0h 20m 15s,GHS Wabu,Y4-Split2 ALGS-Playoffs
3,,G7 Scout,0,0,10,-,0%,0h 3m 17s,GHS Wabu,Y4-Split2 ALGS-Playoffs
4,,Wingman,0,0,-,-,NAN%,0h 0m 9s,GHS Wabu,Y4-Split2 ALGS-Playoffs
5,,C.A.R. SMG,0,0,-,-,NAN%,0h 7m 41s,GHS Wabu,Y4-Split2 ALGS-Playoffs
6,,Triple Take,0,0,-,-,-,0h 0m 17s,GHS Wabu,Y4-Split2 ALGS-Playoffs
7,,HAVOC Rifle,0,240,20,14,70%,0h 47m 11s,GHS Wabu,Y4-Split2 ALGS-Playoffs
8,,M600 Spitfire,0,0,-,-,0%,0h 0m 5s,GHS Wabu,Y4-Split2 ALGS-Playoffs
9,,Hemlok Burst AR,0,0,15,-,0%,0h 3m 56s,GHS Wabu,Y4-Split2 ALGS-Playoffs
10,,P2020,0,0,3,-,0%,0h 0m 36s,GHS Wabu,Y4-Split2 ALGS-Playoffs
11,,Arc Star,0,58,-,1,-,0h 0m 0s,GHS Wabu,Y4-Split2 ALGS-Playoffs
12,,Prowler Burst PDW,0,278,129,22,17.05%,0h 35m 19s,GHS Wabu,Y4-Split2 ALGS-Playoffs
13,,RE-45 Auto,0,0,8,-,0%,0h 0m 49s,GHS Wabu,Y4-Split2 ALGS-Playoffs
14,,L-STAR EMG,0,0,33,-,0%,0h 8m 46s,GHS Wabu,Y4-Split2 ALGS-Playoffs
15,,Nemesis Burst AR,0,22,28,1,3.57%,0h 8m 50s,GHS Wabu,Y4-Split2 ALGS-Playoffs
16,,R-301 Carbine,0,0,-,-,NAN%,0h 0m 2s,GHS Wabu,Y4-Split2 ALGS-Playoffs
17,,Mozambique Shotgun,0,0,-,-,-,0h 3m 47s,GHS Wabu,Y4-Split2 ALGS-Playoffs
18,,EVA-8 Auto,0,0,4,-,-,0h 1m 57s,GHS Wabu,Y4-Split2 ALGS-Playoffs
19,,Rampage LMG,0,0,10,-,0%,0h 0m 9s,GHS Wabu,Y4-Split2 ALGS-Playoffs
20,,Sentinel,0,0,-,-,NAN%,0h 0m 3s,GHS Wabu,Y4-Split2 ALGS-Playoffs
0,,Mozambique (Akimbo),4,751,-,49,-,0h 0m 0s,SRZ SyanaMu,Y4-Split2 ALGS-Playoffs
1,,L-STAR EMG,2,476,108,32,29.63%,0h 11m 2s,SRZ SyanaMu,Y4-Split2 ALGS-Playoffs
2,,VK-47 Flatline,1,449,143,28,19.58%,0h 24m 48s,SRZ SyanaMu,Y4-Split2 ALGS-Playoffs
3,,Mastiff Shotgun,0,736,17,-,-,0h 28m 53s,SRZ SyanaMu,Y4-Split2 ALGS-Playoffs
4,,HAVOC Rifle,0,411,140,25,17.86%,0h 26m 20s,SRZ SyanaMu,Y4-Split2 ALGS-Playoffs
5,,Volt SMG,0,0,-,-,NAN%,0h 0m 17s,SRZ SyanaMu,Y4-Split2 ALGS-Playoffs
6,,Mozambique Shotgun,0,0,101,-,-,0h 10m 32s,SRZ SyanaMu,Y4-Split2 ALGS-Playoffs
7,,Nemesis Burst AR,0,0,24,-,0%,0h 8m 59s,SRZ SyanaMu,Y4-Split2 ALGS-Playoffs
8,,EVA-8 Auto,0,64,-,-,-,0h 0m 55s,SRZ SyanaMu,Y4-Split2 ALGS-Playoffs
9,,Peacekeeper,0,0,1,-,-,0h 2m 24s,SRZ SyanaMu,Y4-Split2 ALGS-Playoffs
10,,Arc Star,0,311,-,12,-,0h 0m 0s,SRZ SyanaMu,Y4-Split2 ALGS-Playoffs
11,,Hemlok Burst AR,0,195,221,12,5.43%,0h 23m 41s,SRZ SyanaMu,Y4-Split2 ALGS-Playoffs
12,,Longbow DMR,0,0,-,-,NAN%,0h 0m 1s,SRZ SyanaMu,Y4-Split2 ALGS-Playoffs
13,,Thermite Grenade,0,75,-,21,-,0h 0m 0s,SRZ SyanaMu,Y4-Split2 ALGS-Playoffs
14,,Rampage LMG,0,48,16,2,12.5%,0h 12m 3s,SRZ SyanaMu,Y4-Split2 ALGS-Playoffs
15,,Prowler Burst PDW,0,111,96,8,8.33%,0h 1m 23s,SRZ SyanaMu,Y4-Split2 ALGS-Playoffs
16,,Triple Take,0,84,11,-,-,0h 8m 24s,SRZ SyanaMu,Y4-Split2 ALGS-Playoffs
17,,Frag Grenade,0,238,-,4,-,0h 0m 0s,SRZ SyanaMu,Y4-Split2 ALGS-Playoffs
18,,C.A.R. SMG,0,0,-,-,NAN%,0h 0m 10s,SRZ SyanaMu,Y4-Split2 ALGS-Playoffs
19,,30-30 Repeater,0,0,2,-,0%,0h 0m 2s,SRZ SyanaMu,Y4-Split2 ALGS-Playoffs
20,,R-301 Carbine,0,0,-,-,NAN%,0h 0m 4s,SRZ SyanaMu,Y4-Split2 ALGS-Playoffs
21,,Wingman,0,0,-,-,NAN%,0h 0m 2s,SRZ SyanaMu,Y4-Split2 ALGS-Playoffs
22,,Alternator SMG,0,0,-,-,NAN%,0h 0m 4s,SRZ SyanaMu,Y4-Split2 ALGS-Playoffs
23,,RE-45 Auto,0,0,-,-,NAN%,0h 0m 4s,SRZ SyanaMu,Y4-Split2 ALGS-Playoffs
24,,Sentinel,0,0,7,-,0%,0h 1m 14s,SRZ SyanaMu,Y4-Split2 ALGS-Playoffs
0,,HAVOC Rifle,25,3551,1059,218,20.59%,1h 18m 20s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
1,,Hemlok Burst AR,7,5462,2376,355,14.94%,2h 1m 18s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
2,,Mozambique (Akimbo),5,939,-,65,-,0h 0m 0s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
3,,VK-47 Flatline,4,814,401,49,12.22%,0h 11m 42s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
4,,EVA-8 Auto,4,529,22,-,-,0h 1m 13s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
5,,Rampage LMG,1,9,5,1,20%,0h 1m 5s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
6,,Volt SMG,1,333,220,24,10.91%,0h 2m 43s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
7,,Triple Take,1,152,22,-,-,0h 13m 35s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
8,,Kraber .50-Cal Sniper,1,260,-,3,-,0h 4m 26s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
9,,Prowler Burst PDW,0,0,-,-,NAN%,0h 0m 14s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
10,,Alternator SMG,0,0,-,-,NAN%,0h 4m 37s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
11,,Mozambique Shotgun,0,0,182,-,-,0h 21m 11s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
12,,C.A.R. SMG,0,0,-,-,NAN%,0h 0m 7s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
13,,Nemesis Burst AR,0,796,447,54,12.08%,0h 25m 50s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
14,,Sentinel,0,200,14,3,21.43%,0h 4m 54s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
15,,Thermite Grenade,0,174,-,48,-,0h 0m 0s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
16,,Arc Star,0,123,-,6,-,0h 0m 0s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
17,,30-30 Repeater,0,0,15,-,0%,0h 1m 36s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
18,,L-STAR EMG,0,155,179,10,5.59%,0h 4m 35s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
19,,Wingman,0,0,-,-,NAN%,0h 0m 2s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
20,,Frag Grenade,0,434,-,7,-,0h 0m 0s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
21,,R-301 Carbine,0,0,4,-,0%,0h 0m 43s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
22,,Mastiff Shotgun,0,117,-,-,-,0h 0m 14s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
23,,G7 Scout,0,91,31,3,9.68%,0h 6m 28s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
24,,Charge Rifle,0,0,-,-,-,0h 1m 52s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
25,,Longbow DMR,0,0,-,-,NAN%,0h 0m 4s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
26,,P2020,0,0,8,-,0%,0h 0m 11s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
27,,Peacekeeper,0,0,-,-,-,0h 0m 1s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
28,,RE-45 Auto,0,101,22,9,40.91%,0h 1m 24s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
29,,Bocek Compound Bow,0,371,-,6,-,0h 2m 37s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
30,,M600 Spitfire,0,0,-,-,NAN%,0h 0m 3s,MST iiTzTimmy,Y4-Split2 ALGS-Playoffs
0,,Nemesis Burst AR,6,4002,2321,359,15.47%,1h 8m 18s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
1,,Mozambique (Akimbo),4,2330,-,152,-,0h 0m 0s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
2,,Mastiff Shotgun,4,1224,52,-,-,0h 11m 46s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
3,,VK-47 Flatline,2,982,800,60,7.5%,0h 35m 27s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
4,,Peacekeeper,1,978,26,-,-,0h 13m 2s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
5,,HAVOC Rifle,1,329,93,21,22.58%,0h 2m 45s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
6,,Alternator SMG,0,0,-,-,NAN%,0h 0m 16s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
7,,Mozambique Shotgun,0,0,156,-,-,0h 22m 15s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
8,,L-STAR EMG,0,36,113,12,10.62%,0h 1m 9s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
9,,Volt SMG,0,0,13,-,0%,0h 1m 53s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
10,,Rampage LMG,0,326,115,13,11.3%,0h 5m 17s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
11,,P2020,0,0,8,-,0%,0h 0m 20s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
12,,EVA-8 Auto,0,14,-,-,-,0h 0m 32s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
13,,Wingman,0,0,-,-,NAN%,0h 0m 3s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
14,,R-301 Carbine,0,232,334,19,5.69%,0h 11m 37s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
15,,30-30 Repeater,0,206,58,5,8.62%,0h 6m 18s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
16,,Hemlok Burst AR,0,1827,981,150,15.29%,0h 24m 31s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
17,,C.A.R. SMG,0,0,19,-,0%,0h 0m 10s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
18,,Frag Grenade,0,135,-,4,-,0h 0m 0s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
19,,Arc Star,0,283,-,9,-,0h 0m 0s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
20,,Thermite Grenade,0,78,-,21,-,0h 0m 0s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
21,,RE-45 Auto,0,0,31,-,0%,0h 0m 20s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
22,,G7 Scout,0,539,143,20,13.99%,0h 6m 10s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
23,,Triple Take,0,0,20,-,-,0h 0m 30s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
24,,Longbow DMR,0,0,12,-,0%,0h 0m 23s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
25,,Sentinel,0,140,14,2,14.29%,0h 9m 7s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
26,,R-99 SMG,0,109,-,9,-,0h 0m 0s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
27,,M600 Spitfire,0,0,-,-,NAN%,0h 0m 3s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
28,,Prowler Burst PDW,0,0,-,-,NAN%,0h 0m 8s,TLAW jaguaresl,Y4-Split2 ALGS-Playoffs
0,,HAVOC Rifle,3,2059,681,125,18.36%,0h 23m 56s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
1,,Bocek Compound Bow,3,836,-,14,-,0h 3m 51s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
2,,Hemlok Burst AR,2,3948,1642,234,14.25%,1h 2m 10s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
3,,Arc Star,2,1031,-,27,-,0h 0m 0s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
4,,Mastiff Shotgun,1,604,16,-,-,0h 2m 0s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
5,,Prowler Burst PDW,1,925,398,68,17.09%,0h 12m 12s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
6,,Volt SMG,1,772,203,54,26.6%,0h 5m 44s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
7,,30-30 Repeater,1,470,136,12,8.82%,0h 6m 52s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
8,,VK-47 Flatline,0,300,447,33,7.38%,0h 15m 35s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
9,,Mozambique (Akimbo),0,551,-,38,-,0h 0m 0s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
10,,Mozambique Shotgun,0,439,137,-,-,0h 8m 13s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
11,,Nemesis Burst AR,0,2929,1223,198,16.19%,0h 25m 35s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
12,,P2020,0,0,12,-,0%,0h 0m 32s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
13,,G7 Scout,0,132,27,4,14.81%,0h 2m 45s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
14,,C.A.R. SMG,0,0,-,-,NAN%,0h 0m 2s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
15,,Alternator SMG,0,0,-,-,NAN%,0h 0m 1s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
16,,Frag Grenade,0,483,-,6,-,0h 0m 0s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
17,,L-STAR EMG,0,0,-,-,NAN%,0h 0m 4s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
18,,Longbow DMR,0,0,-,-,NAN%,0h 0m 3s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
19,,EVA-8 Auto,0,0,30,-,-,0h 0m 56s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
20,,Triple Take,0,522,69,-,-,0h 3m 20s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
21,,RE-45 Auto,0,0,-,-,NAN%,0h 0m 5s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
22,,Sentinel,0,0,19,-,0%,0h 5m 32s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
23,,R-301 Carbine,0,677,602,57,9.47%,0h 11m 3s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
24,,M600 Spitfire,0,79,257,7,2.72%,0h 7m 52s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
25,,Kraber .50-Cal Sniper,0,0,-,-,NAN%,0h 0m 22s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
26,,Peacekeeper,0,0,-,-,-,0h 0m 24s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
27,,Wingman,0,0,-,-,NAN%,0h 0m 2s,SDW KPG_OuOKh,Y4-Split2 ALGS-Playoffs
0,,Hemlok Burst AR,2,2660,909,147,16.17%,0h 37m 4s,FAZE arctic,Y4-Split2 ALGS-Playoffs
1,,Arc Star,2,105,-,5,-,0h 0m 0s,FAZE arctic,Y4-Split2 ALGS-Playoffs
2,,Mozambique (Akimbo),1,1372,-,91,-,0h 0m 0s,FAZE arctic,Y4-Split2 ALGS-Playoffs
3,,Kraber .50-Cal Sniper,1,570,-,5,-,0h 1m 2s,FAZE arctic,Y4-Split2 ALGS-Playoffs
4,,Thermite Grenade,1,163,-,45,-,0h 0m 0s,FAZE arctic,Y4-Split2 ALGS-Playoffs
5,,R-301 Carbine,0,240,193,19,9.84%,0h 4m 43s,FAZE arctic,Y4-Split2 ALGS-Playoffs
6,,Mastiff Shotgun,0,258,30,-,-,0h 3m 11s,FAZE arctic,Y4-Split2 ALGS-Playoffs
7,,EVA-8 Auto,0,49,6,-,-,0h 1m 21s,FAZE arctic,Y4-Split2 ALGS-Playoffs
8,,M600 Spitfire,0,262,121,17,14.05%,0h 3m 50s,FAZE arctic,Y4-Split2 ALGS-Playoffs
9,,Wingman,0,0,-,-,NAN%,0h 0m 9s,FAZE arctic,Y4-Split2 ALGS-Playoffs
10,,VK-47 Flatline,0,415,284,24,8.45%,0h 9m 19s,FAZE arctic,Y4-Split2 ALGS-Playoffs
11,,Mozambique Shotgun,0,75,167,-,-,0h 13m 23s,FAZE arctic,Y4-Split2 ALGS-Playoffs
12,,P2020,0,0,-,-,NAN%,0h 0m 5s,FAZE arctic,Y4-Split2 ALGS-Playoffs
13,,Nemesis Burst AR,0,415,224,27,12.05%,0h 8m 0s,FAZE arctic,Y4-Split2 ALGS-Playoffs
14,,Triple Take,0,0,10,-,-,0h 0m 10s,FAZE arctic,Y4-Split2 ALGS-Playoffs
15,,L-STAR EMG,0,208,86,13,15.12%,0h 0m 44s,FAZE arctic,Y4-Split2 ALGS-Playoffs
